sessionid;query_desc;type;total;time;branchcode;categorycode
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: bronzino";biblio;16;"2018-10-17 15:27:49";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: bronzino";biblio;16;"2018-10-17 15:28:25";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster";biblio;10;"2018-10-17 15:29:51";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster";biblio;10;"2018-10-17 15:30:02";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster";biblio;10;"2018-10-17 15:30:13";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:ELECTRODOS";biblio;3;"2018-10-17 15:30:56";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:ELECTRODOS su-to:INSTRUMENTACION";biblio;3;"2018-10-17 15:31:10";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:ELECTRODOS su-to:INSTRUMENTACION su-to:SEGURIDAD ELECTRICA";biblio;3;"2018-10-17 15:31:33";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:INSTRUMENTACION su-to:SEGURIDAD ELECTRICA";biblio;3;"2018-10-17 15:31:48";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:INSTRUMENTACION";biblio;4;"2018-10-17 15:31:52";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:INSTRUMENTACION su-to:SEGURIDAD ELECTRICA";biblio;3;"2018-10-17 15:31:59";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster, su-to:SEGURIDAD ELECTRICA";biblio;3;"2018-10-17 15:32:01";FING;DOCENTE
8b973f78de404b6eb6548e4a229cb725;"au,wrdl: webster";biblio;10;"2018-10-17 15:32:08";FING;DOCENTE
7e8659ced94e93e81dfd3949bc56510f;"kw,wrdl: webster";biblio;11;"2018-10-25 13:33:03";FING;DOCENTE
7e8659ced94e93e81dfd3949bc56510f;"kw,wrdl: bronzino";biblio;16;"2018-10-25 13:33:49";FING;DOCENTE
7e8659ced94e93e81dfd3949bc56510f;"kw,wrdl: Medical instrumentation application and design";biblio;3;"2018-10-25 13:48:08";FING;DOCENTE
286575f1dfd522806c0945722afefe05;"kw,wrdl: Yiu";biblio;1;"2018-11-01 11:15:00";FING;BIBLIOTECA
286575f1dfd522806c0945722afefe05;"kw,wrdl: serway";biblio;10;"2018-11-01 11:21:00";FING;BIBLIOTECA
286575f1dfd522806c0945722afefe05;"kw,wrdl: frumento";biblio;6;"2018-11-01 11:22:00";FING;BIBLIOTECA
9d28dcc44487946c8370722713745f17;"kw,wrdl: handbook of moderns sensors";biblio;0;"2019-02-12 12:46:49";FING;DOCENTE
9d28dcc44487946c8370722713745f17;"kw,wrdl: handbook of modern sensors";biblio;1;"2019-02-12 12:46:59";FING;DOCENTE
775a12f2a1324bde274c02ed21430bb3;"su,wrdl: Biología";biblio;201;"2019-02-23 17:27:39";FING;BIBLIOTECA
