sessionid,query_desc,total,time,categorycode,campo_utilizado,sintaxis,cant_campos_utilizados,problema_detectado
9d28dcc44487946c8370722713745f17,"kw,wrdl: handbook of moderns sensors",0,2019-02-12 12:46:49,DOCENTE,kw,handbook of moderns sensors,1,error de tipeo
7762fe1145877284a417558c9d699a64,"se,wrdl: Programación",0,2019-03-01 16:21:35,BIBLIOTECA,se,Programación,1,campo incorrecto
7762fe1145877284a417558c9d699a64,"callnum,wrdl: Programación",0,2019-03-01 16:21:43,BIBLIOTECA,callnum,Programación,1,campo incorrecto
068a7bd877f76e9e6e6cb210961b11c3,"mc-itype,phr:NOTICIA",0,2019-03-13 10:31:05,TEC_MED_N,mc-itype,NOTICIA,1,no hay resultados
068a7bd877f76e9e6e6cb210961b11c3,"mc-itype,phr:RL",0,2019-03-13 10:32:12,TEC_MED_N,mc-itype,RL,1,no había resultados en el tiempo de la consulta
bb7235c7adaa41b5dc94bfca7f4159df,"kw,wrdl: tubiana",0,2019-03-13 21:36:03,TEC_MED_N,kw,tubiana,1,no hay resultados
bb7235c7adaa41b5dc94bfca7f4159df,"au,wrdl: tubiana",0,2019-03-13 21:36:12,TEC_MED_N,au,tubiana,1,no hay resultados
323a5bea19bd2992568202534cc75052,"kw,wrdl: quimica bioanalitica",0,2019-03-16 00:30:18,TEC_MED_N,kw,quimica bioanalitica,1,no hay resultados
323a5bea19bd2992568202534cc75052,"ti,wrdl: Química Bioanalítica",0,2019-03-16 00:30:50,TEC_MED_N,ti,Química Bioanalítica,1,no hay resultados
323a5bea19bd2992568202534cc75052,"ti,wrdl: Química Bioanalítica",0,2019-03-16 00:30:53,TEC_MED_N,ti,Química Bioanalítica,1,no hay resultados
323a5bea19bd2992568202534cc75052,"au,wrdl: eduardo corton",0,2019-03-16 00:31:06,TEC_MED_N,au,eduardo corton,1,no hay resultados
84df1fd1f5d6871de2b21edfac7bf5b0,"kw,wrdl: tubiana",0,2019-03-18 10:12:39,TEC_MED_N,kw,tubiana,1,no hay resultados
d6bd92d4affe5da2921bd923d53dee4f,"kw,wrdl: agrawal",0,2019-03-20 23:31:02,BIBLIOTECA,kw,agrawal,1,no hay resultados
d6bd92d4affe5da2921bd923d53dee4f,"au,wrdl: agrawal",0,2019-03-20 23:31:16,BIBLIOTECA,au,agrawal,1,no hay resultados
d6bd92d4affe5da2921bd923d53dee4f,"au,wrdl: agrawal",0,2019-03-20 23:31:21,BIBLIOTECA,au,agrawal,1,no hay resultados
02f79dd1689c35b0b95cd1e0b8e19328,"kw,wrdl: Rowasky",0,2019-03-21 15:45:54,BIBLIOTECA,kw,Rowasky,1,no hay resultados
02f79dd1689c35b0b95cd1e0b8e19328,"au,wrdl: Rowasky",0,2019-03-21 15:46:05,BIBLIOTECA,au,Rowasky,1,no hay resultados
